SEMANA;FECHA;CIA;#ORDEN ;SOLICITANTE;UNIDAD;VEHICULO;#PLACA;KM ACTUAL;ULT KM;KM RECORRIDOS;DIFERENCIA RECORRIDA;VALOR COMBUST;VALOR RECORRIDO;SOLICITADO ;ABASTECIDO;DIFERENCIA;TOTAL VALOR LPS;OBSERVACION 1;OBSERVACION 2;COMBUSTIBLE ;DENOMINACION ;PROVEEDOR;AUDITADO POR ;MES;AÑO
SEMANA-41;6/10/2025;INVERSIONES S&S de R.L;7758;DESPACHOS;23;TOYOTA HIACE ;HDZ-4103;278977;278977;0;0;85.09;0;4;4;0;340.36; 3/4;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-40;4/10/2025;INVERSIONES S&S de R.L;33250;DESPACHOS;HDV-0608;ISUZU NPR (BLANCO);HDV-0608;272698;272698;0;0;85.09;0;28;28;0;2382.52;3/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-40;4/10/2025;INVERSIONES S&S de R.L;33355;DESPACHOS;19;TOYOTA HIACE ;HDA-0413;445060;445060;0;0;85.09;0;14;14;0;1191.26; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;31/10/2025;INVERSIONES S&S de R.L;33344;DESPACHOS;FTR;ISUZU FTR (VIEJO);TCH-0089;3930483;3930483;0;0;85.17;0;40;30;-10;2555.1;2/4 M;EXCESO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;31/10/2025;INVERSIONES S&S de R.L;33343;DESPACHOS;C-06;ISUZU NPR (BLANCO);JAB-2827;188169;188169;0;0;85.17;0;24;24;0;2044.08;2/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;31/10/2025;INVERSIONES S&S de R.L;33341;DESPACHOS;HDV-0608;ISUZU NPR (BLANCO);HDV-0608;271731;271731;0;0;85.17;0;15;15;0;1277.55;1    ;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;31/10/2025;INVERSIONES S&S de R.L;33340;DESPACHOS;26;TOYOTA HIACE ;JAB-1487;104929;104929;0;0;85.17;0;15;14.2;-0.8;1209.414; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;31/10/2025;INVERSIONES S&S de R.L;33345;DESPACHOS;25;TOYOTA HIACE ;HCO-4650;306946;306946;0;0;85.17;0;14;14;0;1192.38; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;31/10/2025;INVERSIONES S&S de R.L;33339;DESPACHOS;24;TOYOTA HIACE ;HCO-4654;333040;333040;0;0;85.17;0;9;9;0;766.53; 1/2;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33338;DESPACHOS;23;TOYOTA HIACE ;HDZ-4103;277473;277473;0;0;85.17;0;11;11;0;936.87;1/4 M;APROVADO;DIESEL ;BUSITO;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33324;DESPACHOS;JAK-3069;CAMION FVR NUEVO;JAK-3069;131377;131377;0;0;85.17;0;45;45;0;3832.65; 1/2;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33322;DESPACHOS;C-07;ISUZU NPR (BLANCO);JAD-6907;188262;188262;0;0;85.17;0;28;28;0;2384.76;2/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33323;DESPACHOS;C-06;ISUZU NPR (BLANCO);JAB-2827;187480;187480;0;0;85.17;0;35;32.2;-2.8;2742.474;2/4 M;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33325;DESPACHOS;HDV-0608;ISUZU NPR (BLANCO);HDV-0608;271480;271480;0;0;85.17;0;25;25;0;2129.25; 1/4;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
SEMANA-44;30/10/2025;INVERSIONES S&S de R.L;33321;DESPACHOS;C-05;ISUZU NPR (BLANCO);HDV-0606;271882;271882;0;0;85.17;0;8;8;0;681.36;1    ;APROVADO;DIESEL ;CAMION ;INVERSIONES S&S de R.L;VICTOR CACERES;OCTUBRE;2025
